id,keyword,location,text,target,prob_DIS_TRUE,prob_DIS_FALSE,prediction
11000,ablaze,,"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…",1,0.91448367,0.08831403,Disaster
11004,ablaze,,"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8",0,0.19612125,0.76304156,NOT a Disaster
11005,ablaze,OC,"If this child was Chinese, this tweet would have gone viral. Social media would be ablaze. SNL would have made a racist j…",0,0.22696416,0.77767736,NOT a Disaster
11006,ablaze,"London, England","Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2",1,0.8601308,0.13642368,Disaster
11007,ablaze,Bharat,Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,1,0.8321553,0.16620766,Disaster
11008,ablaze,"Accra, Ghana","National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj",0,0.24881409,0.7386575,NOT a Disaster
11014,ablaze,"Reno, NV","AMEN! Set the whole system ablaze, man. https://t.co/J08xHDcGbD",0,0.18361942,0.7571919,NOT a Disaster
11017,ablaze,,Rengoku sets my heart ablaze😔❤️🔥 P.s. I missed this style of coloring I do so here it is c: #鬼滅の刃 https://t.co/YrUF9g68s0,0,0.15790232,0.80331147,NOT a Disaster
11018,ablaze,Worldwide,paulzizkaphoto: “Rundle Ablaze” Wishing you all a good evening... https://t.co/d0NlME1HQz https://t.co/hlVlT6qiIp,0,0.15704304,0.8129157,NOT a Disaster
11019,ablaze,,French cameroun set houses ablaze in Ndu and roasted two young boys in their homes in #targeted killings in a #GenocideInSou…,1,0.90754086,0.09527973,Disaster
11020,ablaze,,Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…,1,0.919968,0.08370437,Disaster
11021,ablaze,,As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…,1,0.7026651,0.2606175,Disaster
11021,ablaze,,As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…,1,0.7026652,0.2606174,Disaster
11026,ablaze,,"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1,0.8883228,0.11265385,Disaster
11026,ablaze,,"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1,0.8883228,0.11265385,Disaster
11029,ablaze,,I swear that jam will set the world ablaze,0,0.21226287,0.7455692,NOT a Disaster
11030,ablaze,,"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…",1,0.8916535,0.11755017,Disaster
11031,ablaze,"Washington, DC","Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK",1,0.89073783,0.119608976,Disaster
11058,accident,"California, USA","In completely available public information , the fires were mostly started by humans on purpose or on accident with th…",1,0.912036,0.08880196,Disaster
11190,ambulance,Republic of Ireland.,Fire Engulfs Ambulance Conveying Corpse of Catholic Priest’s Mother; #streetjournal https://t.co/gK6dAGKRrL,1,0.92610025,0.074304804,Disaster
11291,annihilation,Where the doggos are,[AUS] Vic Bushfire Appeal | Doggos | Animal Farm | Tomb of Annihilation https://t.co/SgKNEDTlto,1,0.8417347,0.13529421,Disaster
11291,annihilation,Where the doggos are,[AUS] Vic Bushfire Appeal | Doggos | Animal Farm | Tomb of Annihilation https://t.co/SgKNEDTlto,1,0.8417347,0.13529421,Disaster
11292,annihilation,,[AUS] Vic Bushfire Appeal | Doggos | Animal Farm | Tomb of Annihilation https://t.co/SgKNEDTlto,1,0.8417347,0.13529421,Disaster
11292,annihilation,,[AUS] Vic Bushfire Appeal | Doggos | Animal Farm | Tomb of Annihilation https://t.co/SgKNEDTlto,1,0.8417347,0.13529421,Disaster
11371,armageddon,Alaska,"It was pitch black at 9.30am in Mallacoota as more than 4,000 people fled AustralianFires, seeking shelter on the beac…",1,0.9211499,0.08231006,Disaster
11373,armageddon,"Atlanta, GA","It was pitch black at 9.30am in Mallacoota as more than 4,000 people fled AustralianFires, seeking shelter on the b… https://t.co/YtSAuNs5j8",1,0.91631716,0.08662158,Disaster
11452,arson,"Belfast, Northern Ireland",Firefighter Let Out of Jail Despite 'Serious Sex Offenses' Arrested for Starting 17 Fires in Australia https://t.co/GiMhYIlwGC,1,0.7054666,0.28375348,Disaster
11458,arson,USA,Climate Change Or Arson Jihad? - https://t.co/BNYlRJsACJ A look into what's behind the Australian wildfires.,1,0.8949523,0.106029436,Disaster
11458,arson,USA,Climate Change Or Arson Jihad? - https://t.co/BNYlRJsACJ A look into what's behind the Australian wildfires.,1,0.8949523,0.106029436,Disaster
11458,arson,USA,Climate Change Or Arson Jihad? - https://t.co/BNYlRJsACJ A look into what's behind the Australian wildfires.,1,0.8949523,0.106029436,Disaster
11460,arson,"Helsinki, Finland","""Only about 1 per cent of the land burnt in NSW this bushfire season can be officially attribu… https://t.co/prCXHHyt1B",1,0.887054,0.112874076,Disaster
11460,arson,"Helsinki, Finland","""Only about 1 per cent of the land burnt in NSW this bushfire season can be officially attribu… https://t.co/prCXHHyt1B",1,0.887054,0.112874076,Disaster
11464,arson,Washington State,"The viral false claim that nearly 200 arsonists are behind the Australia fires, explained https://t.co/V8mJfFmBPh HANNITY…",1,0.8789474,0.12087407,Disaster
11464,arson,Washington State,"The viral false claim that nearly 200 arsonists are behind the Australia fires, explained https://t.co/V8mJfFmBPh HANNITY…",1,0.8789474,0.12087407,Disaster
11465,arson,,No just plain hard facts. Australia has always had fires - Tony Heller… https://t.co/pSFW3bHioq,1,0.7322321,0.2456797,Disaster
11466,arson,Milkyway Galaxy,190 people arrested for arson!,1,0.728301,0.26455054,Disaster
11467,arson,,I’ve had a number of messages saying that the media is ignoring arson as a major cause of the Australia bushfire crisis.…,1,0.8591996,0.1405665,Disaster
11467,arson,,I’ve had a number of messages saying that the media is ignoring arson as a major cause of the Australia bushfire crisis.…,1,0.8591996,0.1405665,Disaster
11467,arson,,I’ve had a number of messages saying that the media is ignoring arson as a major cause of the Australia bushfire crisis.…,1,0.8591996,0.1405665,Disaster
11468,arson,,"Newscorp digging deeper. Adverse publicity about their coverage of bushfires, insistence on concentrating on arson, backbur…",1,0.87148094,0.13197778,Disaster
11468,arson,,"Newscorp digging deeper. Adverse publicity about their coverage of bushfires, insistence on concentrating on arson, backbur…",1,0.87148094,0.13197778,Disaster
11468,arson,,"Newscorp digging deeper. Adverse publicity about their coverage of bushfires, insistence on concentrating on arson, backbur…",1,0.87148094,0.13197778,Disaster
11471,arson,united states,"Two of the most recent studies say there are between 52,000 and 54,000 bushfires in Australia every year. Of…",1,0.8791689,0.1253712,Disaster
11471,arson,united states,"Two of the most recent studies say there are between 52,000 and 54,000 bushfires in Australia every year. Of…",1,0.8791689,0.1253712,Disaster
11474,arson,GO #ScoMo! GO #Boris Johnson!,"2009 bushfires in Victoria: - 173 fatalities - Labor Govt &amp; Kevin Rudd - Caused by arson, power lines, lightning - Nobody…",1,0.92336994,0.076329455,Disaster
11474,arson,GO #ScoMo! GO #Boris Johnson!,"2009 bushfires in Victoria: - 173 fatalities - Labor Govt &amp; Kevin Rudd - Caused by arson, power lines, lightning - Nobody…",1,0.92336994,0.076329455,Disaster
11474,arson,GO #ScoMo! GO #Boris Johnson!,"2009 bushfires in Victoria: - 173 fatalities - Labor Govt &amp; Kevin Rudd - Caused by arson, power lines, lightning - Nobody…",1,0.92336994,0.076329455,Disaster
11475,arson,Port Alfred,Boats on fire in PA small boat harbour – arson suspected https://t.co/k7HGhdjLTQ via,1,0.92211616,0.07946987,Disaster
11475,arson,Port Alfred,Boats on fire in PA small boat harbour – arson suspected https://t.co/k7HGhdjLTQ via,1,0.92211616,0.07946987,Disaster
11477,arson,"Bengaluru, Karnataka",Police figures show far fewer people in Australia have been charged with bushfire arson https://t.co/8KPMNFSmcp https://t.co/VQeZhECrJm,1,0.9146359,0.08460905,Disaster
11477,arson,"Bengaluru, Karnataka",Police figures show far fewer people in Australia have been charged with bushfire arson https://t.co/8KPMNFSmcp https://t.co/VQeZhECrJm,1,0.9146359,0.08460905,Disaster
11477,arson,"Bengaluru, Karnataka",Police figures show far fewer people in Australia have been charged with bushfire arson https://t.co/8KPMNFSmcp https://t.co/VQeZhECrJm,1,0.9146359,0.08460905,Disaster
11478,arson,Indonesia,Map of 379k tweets from 190k accounts on Aus bushfires and arson. The narrative that arsonists (and not climate change) are res…,1,0.8784115,0.121954836,Disaster
11478,arson,Indonesia,Map of 379k tweets from 190k accounts on Aus bushfires and arson. The narrative that arsonists (and not climate change) are res…,1,0.8784115,0.121954836,Disaster
11478,arson,Indonesia,Map of 379k tweets from 190k accounts on Aus bushfires and arson. The narrative that arsonists (and not climate change) are res…,1,0.8784115,0.121954836,Disaster
11479,arson,,Rubbish Hillary! I am an Australian living near the fires &amp; the causes of the fires have been: 1. Arson with approx 200…,1,0.90985495,0.090056695,Disaster
11479,arson,,Rubbish Hillary! I am an Australian living near the fires &amp; the causes of the fires have been: 1. Arson with approx 200…,1,0.90985495,0.090056695,Disaster
11480,arson,"Victoria, Australia","We cannot stop bushfires, we must plan to live with them. This means significant change, including information and… https://t.co/XX4QCfV9h3",1,0.7739437,0.1993369,Disaster
11480,arson,"Victoria, Australia","We cannot stop bushfires, we must plan to live with them. This means significant change, including information and… https://t.co/XX4QCfV9h3",1,0.7739437,0.1993369,Disaster
