id,keyword,location,text,target,prob_DIS_TRUE,prob_DIS_FALSE,prediction
11026,ablaze,,"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1,0.8883228,0.11265385,Disaster
11458,arson,USA,Climate Change Or Arson Jihad? - https://t.co/BNYlRJsACJ A look into what's behind the Australian wildfires.,1,0.8949523,0.106029436,Disaster
11464,arson,Washington State,"The viral false claim that nearly 200 arsonists are behind the Australia fires, explained https://t.co/V8mJfFmBPh HANNITY…",1,0.8789474,0.12087407,Disaster
11466,arson,Milkyway Galaxy,190 people arrested for arson!,1,0.728301,0.26455054,Disaster
11467,arson,,I’ve had a number of messages saying that the media is ignoring arson as a major cause of the Australia bushfire crisis.…,1,0.8591996,0.1405665,Disaster
11468,arson,,"Newscorp digging deeper. Adverse publicity about their coverage of bushfires, insistence on concentrating on arson, backbur…",1,0.87148094,0.13197778,Disaster
11474,arson,GO #ScoMo! GO #Boris Johnson!,"2009 bushfires in Victoria: - 173 fatalities - Labor Govt &amp; Kevin Rudd - Caused by arson, power lines, lightning - Nobody…",1,0.92336994,0.076329455,Disaster
11475,arson,Port Alfred,Boats on fire in PA small boat harbour – arson suspected https://t.co/k7HGhdjLTQ via,1,0.92211616,0.07946987,Disaster
11477,arson,"Bengaluru, Karnataka",Police figures show far fewer people in Australia have been charged with bushfire arson https://t.co/8KPMNFSmcp https://t.co/VQeZhECrJm,1,0.9146359,0.08460905,Disaster
11478,arson,Indonesia,Map of 379k tweets from 190k accounts on Aus bushfires and arson. The narrative that arsonists (and not climate change) are res…,1,0.8784115,0.121954836,Disaster
11479,arson,,Rubbish Hillary! I am an Australian living near the fires &amp; the causes of the fires have been: 1. Arson with approx 200…,1,0.90985495,0.090056695,Disaster
11483,arson,Australia,I've gotten a lot of hate mail for our latest article about the actual arson figures for this bushfire season. Some have accus…,1,0.9027588,0.09760253,Disaster
11485,arson,"gehenna, probably",that's right im rdg caste heaven.... surprised no one's thought of arson,0,0.21905708,0.750226,NOT a Disaster
11487,arson,"Oregon, USA",Yeah because arson and poor forest management is not climate change.,1,0.7112046,0.26735276,Disaster
11488,arson,Nazi Germany,200 people were arrested for arson 😂,1,0.85531974,0.15255763,Disaster
11489,arson,,"Officials Charge Nearly 200 with Arson, Looting as Wildfires Rage https://t.co/sY2lhGhsGZ",1,0.9198968,0.08871939,Disaster
11491,arson,"Sydney, Perth and Oxford.",As fire chiefs in NSW have made clear there may be a few cases of arson but most fires are caused by ligh… https://t.co/7GDlTmGvrO,1,0.8637919,0.13706858,Disaster
11494,arson,chicago,Ladies don’t ever go to jail for arson over a dusty ass cheating man in a c class 😩 is his date just sittin there waitin…,0,0.20994025,0.7648303,NOT a Disaster
11495,arson,,"it's not just arson that's starting the fires though, in some ar… https://t.co/n6keLJK9yB",1,0.81884956,0.18073493,Disaster
11498,arson,Australia,"TASA member et al. was in the recently on, ' #Bushfires, #bots and #arson claims: #Aus…",1,0.90417683,0.09904322,Disaster
11499,arson,"Oregon, USA",HE HAS A FUCKING HEART AND A LITTLE RAINBOW EMBROIDERED ONTO HIS PANTS IM GOING TO COMMIT ARSON https://t.co/hF30TdQGpy,0,0.24622922,0.70229197,NOT a Disaster
11501,arson,"Kolkota, West Bengal","Violence, arson across West Bengal as strikers try to enforce bandh; 55 arrested in Kolkata - Times of India… https://t.co/bIMdUMDstT",1,0.89256406,0.10970857,Disaster
11503,arson,,"There's no doubt, , that officials are downplaying arson's role in Australia's fires (because they are global…",1,0.90635514,0.0924048,Disaster
11504,arson,🎯🚩🔥☸आर्यव्रत☸🔥🚩🎯,"Dr ji Pakistan,Bangladesh 'Terrorist' Elements Behind Anti-CAA Arson, Says Dr.Swamy Dr Swamy claimed…",1,0.8865674,0.110787235,Disaster
11505,arson,,Arson major factor in Australian Fires... https://t.co/X59fykaOdA,1,0.91542095,0.08478127,Disaster
11507,arson,"Perth, Western Australia","In response to those spreading misinformation about arson being behind the horrific bushfire season in Australia, here are…",1,0.8663339,0.1328139,Disaster
