id,keyword,location,text,target,prob_DIS_TRUE,prob_DIS_FALSE,prediction
11291,annihilation,Where the doggos are,[AUS] Vic Bushfire Appeal | Doggos | Animal Farm | Tomb of Annihilation https://t.co/SgKNEDTlto,1,0.8417347,0.13529421,Disaster
11292,annihilation,,[AUS] Vic Bushfire Appeal | Doggos | Animal Farm | Tomb of Annihilation https://t.co/SgKNEDTlto,1,0.8417347,0.13529421,Disaster
11460,arson,"Helsinki, Finland","""Only about 1 per cent of the land burnt in NSW this bushfire season can be officially attribu… https://t.co/prCXHHyt1B",1,0.887054,0.112874076,Disaster
11467,arson,,I’ve had a number of messages saying that the media is ignoring arson as a major cause of the Australia bushfire crisis.…,1,0.8591996,0.1405665,Disaster
11468,arson,,"Newscorp digging deeper. Adverse publicity about their coverage of bushfires, insistence on concentrating on arson, backbur…",1,0.87148094,0.13197778,Disaster
11471,arson,united states,"Two of the most recent studies say there are between 52,000 and 54,000 bushfires in Australia every year. Of…",1,0.8791689,0.1253712,Disaster
11474,arson,GO #ScoMo! GO #Boris Johnson!,"2009 bushfires in Victoria: - 173 fatalities - Labor Govt &amp; Kevin Rudd - Caused by arson, power lines, lightning - Nobody…",1,0.92336994,0.076329455,Disaster
11477,arson,"Bengaluru, Karnataka",Police figures show far fewer people in Australia have been charged with bushfire arson https://t.co/8KPMNFSmcp https://t.co/VQeZhECrJm,1,0.9146359,0.08460905,Disaster
11478,arson,Indonesia,Map of 379k tweets from 190k accounts on Aus bushfires and arson. The narrative that arsonists (and not climate change) are res…,1,0.8784115,0.121954836,Disaster
11480,arson,"Victoria, Australia","We cannot stop bushfires, we must plan to live with them. This means significant change, including information and… https://t.co/XX4QCfV9h3",1,0.7739437,0.1993369,Disaster
11483,arson,Australia,I've gotten a lot of hate mail for our latest article about the actual arson figures for this bushfire season. Some have accus…,1,0.9027588,0.09760253,Disaster
11497,arson,日本 東京,"As part of our analysis of misinformation propagated about the Australian bushfires, has produced this detai…",1,0.8717528,0.123441584,Disaster
11498,arson,Australia,"TASA member et al. was in the recently on, ' #Bushfires, #bots and #arson claims: #Aus…",1,0.90417683,0.09904322,Disaster
11507,arson,"Perth, Western Australia","In response to those spreading misinformation about arson being behind the horrific bushfire season in Australia, here are…",1,0.8663339,0.1328139,Disaster
12581,bombing,"Essendon, Melbourne, Australia",What I keep wondering. Would these bushfires have been so severe and unputoutable if we'd had more water bombing aircraft…,1,0.90532225,0.0900563,Disaster
12769,buildings-on-fire,Canberra,"Bushfire lessons available to act on ahead of royal commission, experts say ensuring towns have multiple access roads build…",1,0.84461343,0.14454359,Disaster
12771,buildings-on-fire,Australia,"Bushfire lessons available to act on ahead of royal commission, experts say ensuring towns have multiple access roa… https://t.co/IWETVdgIkW",1,0.8582385,0.13186654,Disaster
12815,burned,Tasmania/ACT,#Bushfires on #KI have ravaged #glossyblackcockatoo habitat to an extent that has us worried about the survival of the sp…,1,0.8639979,0.12649494,Disaster
12827,burned,Japan,This timelapse of #Sentinel3 🇪🇺🛰 imagery shows the magnitude of the #AustralianBushfire crisis in terms of burned areas…,1,0.91931933,0.08273948,Disaster
12833,burned,Ballina nsw australia,"Despite extensive hazard reduction burning across the country over the past decade, some are arguing these #bushfires are evide…",1,0.87605816,0.121419415,Disaster
12852,burned,au,"Australia’s government called bushfire damage to wildlife an ""ecological disaster."" The military is clearing up scores of dead…",1,0.91815495,0.07965981,Disaster
12925,bush-fires,United States,"Linking the bushfire disaster in NSW to climate change is ""an absolute nonsense"" and reducing fuel loads in the Australi…",1,0.8881975,0.10299451,Disaster
12962,bush-fires,Carshalton,"Yesterday, I said kangaroos were digging holes to save their Joeys from #AustralianBushfires. Several Australian field bi…",1,0.90250695,0.09606233,Disaster
13000,casualties,"Siracusa, Sicilia",#AustraliaBushfires: The race to save #KangarooIslandFires animal casualties!! #AustralianBushfiresDisaster…,1,0.91168827,0.084341206,Disaster
13063,casualty,"Geelong, Victoria, Australia","That is, if you are fortunate to find mandarins anywhere. At all. Another bushfires casualty, most likely.",1,0.860514,0.1255444,Disaster
13104,catastrophe,Riverina,"Here's what you can learn from the conservative response to the bushfire crisis — a masterclass in spin, wilful ignorance…",1,0.7239449,0.2654078,Disaster
13122,catastrophic,,"Australia's catastrophic bushfires and the smoke haze blanketing major cities have sparked concerns among international students,…",1,0.89357966,0.101931155,Disaster
13125,catastrophic,Planet Earth,Australian fiction is already challenging the idea that catastrophic bushfire is normal | Rachel Fetherson https://t.co/…,1,0.88294053,0.1058783,Disaster
13138,catastrophic,"Launceston, Tasmania",#isitok to say P.M. Scott Morrison's response to catastrophic bushfires is woefully inadequate? #Scottnoclue.,1,0.90174955,0.09384954,Disaster
13141,catastrophic,"Katoomba, Blue Mountains",Conservationists and scientists fear bushfires that have ravaged parts of Australia have had a catastrophic impact on flora an…,1,0.855167,0.1328812,Disaster
13145,catastrophic,Australia,Conservationists and scientists fear bushfires that have ravaged parts of Australia have had a catastrophic impact… https://t.co/vUmSy99Ene,1,0.9011365,0.09867343,Disaster
13151,catastrophic,Melbourne Australia,Thank you . Bushfires and Bushfire smoke. Your catastrophic failure of leadership and your policy of climate…,1,0.74872977,0.23486724,Disaster
13157,catastrophic,SF Bay Area,guardianeco: Australian fiction is already challenging the idea that catastrophic bushfire is normal | Rachel Fetherson htt…,1,0.90046215,0.08967187,Disaster
13158,catastrophic,An Australian increasingly more concerned about democracy in Australia.,"1 Billion Animals Killed In #BushfireCrisis , Scientists Warns Of Catastrophic Extinctions , The Animals At Risk During And…",1,0.8727211,0.11472125,Disaster
