id,keyword,location,text,target,prob_DIS_TRUE,prob_DIS_FALSE,prediction
11458,arson,USA,Climate Change Or Arson Jihad? - https://t.co/BNYlRJsACJ A look into what's behind the Australian wildfires.,1,0.8949523,0.106029436,Disaster
11489,arson,,"Officials Charge Nearly 200 with Arson, Looting as Wildfires Rage https://t.co/sY2lhGhsGZ",1,0.9198968,0.08871939,Disaster
14985,destruction,"München, Bayern",Wildfire destroyes Australia The view of the Blue Mountains National Park in New South Wales shows the path of destruct…,1,0.894709,0.10558494,Disaster
15765,emergency,philippines,"Wildfire Rips Along South Korea's Eastern Coast, Prompting National Emergency https://t.co/dnhqAV70ym",1,0.9315106,0.07122894,Disaster
16930,floods,"Cape Town, South Africa","“Hotter oceans lead to more severe storms and disrupt the water cycle, meaning more floods, droughts and wildfires,… https://t.co/4zsD7RgUAl",1,0.85437244,0.1398404,Disaster
18298,mass-murder,United States,Absolutely tragic. And intentional. Mass murder. Not #climatechange #AustralianBushfire #AustralianWildFires https://t.co/SHAWE4yNOd,1,0.9163473,0.080072634,Disaster
19388,razed,"Mumbai, India","As unprecedented wildfires threaten large parts of Australia, the nation’s agriculture industries are counting the… https://t.co/4QjRgMH347",1,0.9068804,0.09408766,Disaster
19389,razed,,"As unprecedented wildfires threaten large parts of Australia, the nation’s agriculture industries are counting the… https://t.co/XVGmWDWBpO",1,0.9068804,0.09408766,Disaster
19450,razed,"Dallas, Texas",1️⃣4️⃣7️⃣ 🏠HOUSES RAZED BUT TREES STILL GREEN🌳 🤔How often did we see this in California’s 2018 “wildfires”❓ 🤔Since when…,1,0.9116643,0.09577071,Disaster
20348,smoke,Sydney,"Wildfire smoke to circle planet and return to Australia, Nasa says https://t.co/iTHv7pYH1I https://t.co/exx57uZ1Ol",1,0.72545564,0.21065955,Disaster
22058,wildfire,Madrid,"Jeff Bezos Gets Slammed for Meager 690,000 Donation to Australian Wildfire Crisis https://t.co/RdI7Qcanlg",1,0.88131917,0.115928955,Disaster
22059,wildfire,"Lakeport, CA 95453",‘Outrageous.’ Officials furious that FEMA seeks money from California wildfire victims. Reporting with https://…,1,0.8864202,0.11619272,Disaster
22060,wildfire,United States,Australia’s koala population has taken such an “extraordinary hit” from the wildfires sweeping the country https://t.co/cT7h…,1,0.8612588,0.13329124,Disaster
22061,wildfire,धरती मां की गोद में,Non veg people have no right to show compassion towards animals who suffered in Australian wildfire 🙏🏼,1,0.8597347,0.13056277,Disaster
